t,active_cpu_fog,fog_capacity,pressure,predicted_pressure,prediction_uncertainty,tasks_placed_fog,tasks_placed_cloud,scale_decision,scale_up_total,scale_down_total,energy_joules_cumul,offload_ratio,fog_f0_p,fog_f0_load,fog_f0_power,fog_f1_p,fog_f1_load,fog_f1_power,fog_f2_p,fog_f2_load,fog_f2_power,fog_f3_p,fog_f3_load,fog_f3_power,fog_f4_p,fog_f4_load,fog_f4_power,cloud_c0_load,cloud_c1_load
95,97.99999999999993,110.0,0.8909090909090903,0.5544404039443308,0.2954608778896304,1,3,none,0,2,15118.383838383836,0.75,0.9909090909090903,108.99999999999993,178.63636363636354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.3333333333338,0.0
96,37.666666666666586,110.0,0.3424242424242417,0.5544404039443308,0.2954608778896304,4,3,none,0,2,15297.474747474744,0.42857142857142855,0.9939393939393932,109.33333333333326,179.09090909090898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.00000000000045,0.0
97,86.66666666666659,110.0,0.7878787878787872,0.5544404039443308,0.2954608778896304,4,5,none,0,2,15470.656565656562,0.5555555555555556,0.9545454545454539,104.99999999999993,173.1818181818181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.3333333333337,0.0
98,89.99999999999993,110.0,0.8181818181818176,0.5544404039443308,0.2954608778896304,2,5,none,0,2,15649.74747474747,0.7142857142857143,0.9939393939393932,109.33333333333326,179.09090909090898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.3333333333337,0.0
99,37.6666666666666,110.0,0.3424242424242418,0.5544404039443308,0.2954608778896304,5,3,none,0,2,15817.929292929288,0.375,0.9212121212121207,101.33333333333327,168.1818181818181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.3333333333337,0.0
100,84.33333333333327,110.0,0.766666666666666,0.5636990412942208,0.2915803665335881,3,5,none,0,2,15995.65656565656,0.625,0.9848484848484843,108.33333333333327,177.72727272727263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.666666666667,0.0
101,63.99999999999994,110.0,0.5818181818181813,0.5636990412942208,0.2915803665335881,4,7,none,0,2,16175.202020202014,0.6363636363636364,0.9969696969696964,109.6666666666666,179.54545454545445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.0000000000003,0.0
102,69.6666666666666,110.0,0.6333333333333327,0.5636990412942208,0.2915803665335881,3,5,none,0,2,16348.383838383832,0.625,0.9545454545454539,104.99999999999993,173.1818181818181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.666666666667,0.0
103,55.99999999999993,110.0,0.5090909090909085,0.5636990412942208,0.2915803665335881,3,6,none,0,2,16524.74747474747,0.6666666666666666,0.975757575757575,107.33333333333326,176.36363636363626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.3333333333336,0.0
104,89.33333333333326,110.0,0.8121212121212115,0.5636990412942208,0.2915803665335881,3,0,none,0,2,16684.292929292926,0.0,0.8636363636363629,94.99999999999991,159.54545454545442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0000000000002,0.0
105,8.333333333333258,110.0,0.07575757575757507,0.5426657518415735,0.3027904064692572,5,1,none,0,2,16858.83838383838,0.16666666666666666,0.9636363636363628,105.99999999999991,174.54545454545442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.33333333333354,0.0
106,104.66666666666659,110.0,0.9515151515151508,0.5426657518415735,0.3027904064692572,0,10,none,0,2,17031.565656565654,1.0,0.9515151515151508,104.66666666666659,172.7272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.66666666666686,0.0
107,100.33333333333326,110.0,0.9121212121212114,0.5426657518415735,0.3027904064692572,0,6,none,0,2,17198.383838383834,1.0,0.9121212121212114,100.33333333333326,166.81818181818173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.6666666666669,0.0
108,2.666666666666586,110.0,0.02424242424242351,0.5426657518415735,0.3027904064692572,5,2,none,0,2,17374.74747474747,0.2857142857142857,0.9757575757575749,107.33333333333324,176.36363636363623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.6666666666669,0.0
109,104.66666666666657,110.0,0.9515151515151506,0.5426657518415735,0.3027904064692572,0,6,none,0,2,17547.474747474742,1.0,0.9515151515151506,104.66666666666657,172.7272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.6666666666668,0.0
110,104.66666666666657,110.0,0.9515151515151506,0.5609674385764702,0.30614358233574895,0,11,none,0,2,17720.202020202014,1.0,0.9515151515151506,104.66666666666657,172.7272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.6666666666667,0.0
111,2.666666666666572,110.0,0.024242424242423382,0.5609674385764702,0.30614358233574895,6,0,none,0,2,17862.474747474742,0.0,0.7484848484848476,82.33333333333324,142.27272727272714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.66666666666674,0.0
112,79.66666666666657,110.0,0.7242424242424234,0.5609674385764702,0.30614358233574895,1,5,none,0,2,18039.74747474747,0.8333333333333334,0.9818181818181809,107.9999999999999,177.27272727272714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.66666666666674,0.0
113,82.9999999999999,110.0,0.7545454545454536,0.5609674385764702,0.30614358233574895,4,4,none,0,2,18210.202020202014,0.5,0.9363636363636355,102.9999999999999,170.45454545454533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.33333333333343,0.0
114,50.9999999999999,110.0,0.46363636363636274,0.5609674385764702,0.30614358233574895,3,1,none,0,2,18383.383838383834,0.25,0.9545454545454536,104.9999999999999,173.18181818181804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0000000000001,0.0
